Shore Acres,,,,,,,,,
hole,front_lat,front_lon,mid_lat,mid_lon,back_lat,back_lon,par,distance from whites,handicap
1,43.26676704,-77.62883503,43.26683344,-77.6289497,43.26690229,-77.62904827,4,279,5
2,43.26610122,-77.62650506,43.26608168,-77.62634278,43.26606411,-77.62620599,4,249,7
3,43.26796206,-77.62772434,43.26803726,-77.62782627,43.26809536,-77.62792752,4,290,2
4,43.26725961,-77.62920081,43.26721371,-77.62928194,43.26715561,-77.62936308,3,132,3
5,43.26404688,-77.6299433,43.26398535,-77.6299433,43.26391309,-77.62995134,4,266,6
6,43.26501977,-77.62888217,43.26514672,-77.62880841,43.26525854,-77.62876483,3,170,4
7,43.2660073,-77.62945493,43.26612449,-77.6294784,43.26623679,-77.62948913,3,97,8
8,43.26406572,-77.62862519,43.2640081,-77.62864799,43.26394135,-77.62867394,4,386,1
9,43.26498278,-77.62755506,43.26508385,-77.62751684,43.2651737,-77.62746655,3,115,9
